person_code,first_name,last_name,email,role,school_code,school_name
S02-DEL-001,Matthew,Taylor,matthewtaylor@school2.com,delegate,S02,School 2
S02-DEL-002,Morgan,Hill,morganhill@school2.com,delegate,S02,School 2
S02-DEL-003,Elliot,Jackson,elliotjackson@school2.com,delegate,S02,School 2
S02-DEL-004,Mason,Davis,masondavis@school2.com,delegate,S02,School 2
S02-DEL-005,Isabella,Martinez,isabellamartinez@school2.com,delegate,S02,School 2
S02-DEL-006,Amelia,Flores,ameliaflores@school2.com,delegate,S02,School 2
S02-DEL-007,Amelia,Ramirez,ameliaramirez@school2.com,delegate,S02,School 2
S02-DEL-008,Liam,King,liamking@school2.com,delegate,S02,School 2
S02-DEL-009,Morgan,White,morganwhite@school2.com,delegate,S02,School 2
S02-DEL-010,Dylan,Nguyen,dylannguyen@school2.com,delegate,S02,School 2
S02-DEL-011,Luke,Johnson,lukejohnson@school2.com,delegate,S02,School 2
S02-DIR-001,Taylor,Garcia,taylorgarcia@school2.com,delegate,S02,School 2
S03-DEL-001,Mia,Flores,miaflores@school3.com,delegate,S03,School 3
S03-DEL-002,Luke,Young,lukeyoung@school3.com,delegate,S03,School 3
S03-DEL-003,Daniel,Smith,danielsmith@school3.com,delegate,S03,School 3
S03-DEL-004,Casey,Jackson,caseyjackson@school3.com,delegate,S03,School 3
S03-DEL-005,Jack,Thomas,jackthomas@school3.com,delegate,S03,School 3
S03-DEL-006,Quinn,Walker,quinnwalker@school3.com,delegate,S03,School 3
S03-DEL-007,Liam,Nguyen,liamnguyen@school3.com,delegate,S03,School 3
S03-DEL-008,Elliot,Clark,elliotclark@school3.com,delegate,S03,School 3
S03-DEL-009,Ben,Lewis,benlewis@school3.com,delegate,S03,School 3
S03-DEL-010,Lucas,Martinez,lucasmartinez@school3.com,delegate,S03,School 3
S03-DEL-011,Liam,Anderson,liamanderson@school3.com,delegate,S03,School 3
S03-DEL-012,Noah,Lee,noahlee@school3.com,delegate,S03,School 3
S03-DEL-013,Matthew,Miller,matthewmiller@school3.com,delegate,S03,School 3
S03-DEL-014,Ella,Hernandez,ellahernandez@school3.com,delegate,S03,School 3
S03-DEL-015,Quinn,Robinson,quinnrobinson@school3.com,delegate,S03,School 3
S03-DEL-016,Jack,Taylor,jacktaylor@school3.com,delegate,S03,School 3
S03-DEL-017,Taylor,Ramirez,taylorramirez@school3.com,delegate,S03,School 3
S03-DEL-018,Luke,Martin,lukemartin@school3.com,delegate,S03,School 3
S03-DEL-019,Riley,Garcia,rileygarcia@school3.com,delegate,S03,School 3
S03-DEL-020,Amelia,Jones,ameliajones@school3.com,delegate,S03,School 3
S03-DEL-021,Taylor,Lee,taylorlee@school3.com,delegate,S03,School 3
S03-DEL-022,Andrew,Sanchez,andrewsanchez@school3.com,delegate,S03,School 3
S03-DEL-023,Mia,Clark,miaclark@school3.com,delegate,S03,School 3
S03-DEL-024,Jack,Thompson,jackthompson@school3.com,delegate,S03,School 3
S03-DEL-025,Andrew,Nguyen,andrewnguyen@school3.com,delegate,S03,School 3
S03-DEL-026,Ava,Anderson,avaanderson@school3.com,delegate,S03,School 3
S03-DEL-027,Riley,Perez,rileyperez@school3.com,delegate,S03,School 3
S03-DEL-028,Casey,Scott,caseyscott@school3.com,delegate,S03,School 3
S03-DEL-029,Ethan,Lewis,ethanlewis@school3.com,delegate,S03,School 3
S03-DEL-030,Ella,Perez,ellaperez@school3.com,delegate,S03,School 3
S03-DEL-031,Quinn,Torres,quinntorres@school3.com,delegate,S03,School 3
S03-DEL-032,Grace,Nguyen,gracenguyen@school3.com,delegate,S03,School 3
S03-DEL-033,Quinn,Sanchez,quinnsanchez@school3.com,delegate,S03,School 3
S03-DEL-034,Sophia,Moore,sophiamoore@school3.com,delegate,S03,School 3
S03-DEL-035,Ava,Robinson,avarobinson@school3.com,delegate,S03,School 3
S03-DEL-036,David,Ramirez,davidramirez@school3.com,delegate,S03,School 3
S03-DEL-037,Elliot,Wilson,elliotwilson@school3.com,delegate,S03,School 3
S03-DEL-038,Luke,Wright,lukewright@school3.com,delegate,S03,School 3
S03-DEL-039,Dylan,Thompson,dylanthompson@school3.com,delegate,S03,School 3
S03-DEL-040,Matthew,Smith,matthewsmith@school3.com,delegate,S03,School 3
S03-DEL-041,Luke,Wright,lukewright@school3.com,delegate,S03,School 3
S03-DEL-042,Daniel,Anderson,danielanderson@school3.com,delegate,S03,School 3
S03-DEL-043,Ben,Jones,benjones@school3.com,delegate,S03,School 3
S03-DEL-044,Jamie,Perez,jamieperez@school3.com,delegate,S03,School 3
S03-DEL-045,Morgan,Lewis,morganlewis@school3.com,delegate,S03,School 3
S03-DEL-046,Emma,Gonzalez,emmagonzalez@school3.com,delegate,S03,School 3
S03-DEL-047,Michael,Lee,michaellee@school3.com,delegate,S03,School 3
S03-DIR-001,Chris,Perez,chrisperez@school3.com,delegate,S03,School 3
S04-DEL-001,James,Wilson,jameswilson@school4.com,delegate,S04,School 4
S04-DEL-002,Elliot,Lopez,elliotlopez@school4.com,delegate,S04,School 4
S04-DEL-003,David,Lewis,davidlewis@school4.com,delegate,S04,School 4
S04-DEL-004,Emma,Ramirez,emmaramirez@school4.com,delegate,S04,School 4
S04-DEL-005,Olivia,Hill,oliviahill@school4.com,delegate,S04,School 4
S04-DEL-006,Liam,Davis,liamdavis@school4.com,delegate,S04,School 4
S04-DEL-007,Ryan,Sanchez,ryansanchez@school4.com,delegate,S04,School 4
S04-DEL-008,Mason,Flores,masonflores@school4.com,delegate,S04,School 4
S04-DEL-009,Ava,Thompson,avathompson@school4.com,delegate,S04,School 4
S04-DEL-010,Daniel,Davis,danieldavis@school4.com,delegate,S04,School 4
S04-DEL-011,Jack,Walker,jackwalker@school4.com,delegate,S04,School 4
S04-DEL-012,Dylan,Davis,dylandavis@school4.com,delegate,S04,School 4
S04-DEL-013,Amelia,Anderson,ameliaanderson@school4.com,delegate,S04,School 4
S04-DEL-014,Alex,Smith,alexsmith@school4.com,delegate,S04,School 4
S04-DEL-015,Casey,Brown,caseybrown@school4.com,delegate,S04,School 4
S04-DEL-016,Jamie,Allen,jamieallen@school4.com,delegate,S04,School 4
S04-DEL-017,Mason,Clark,masonclark@school4.com,delegate,S04,School 4
S04-DEL-018,Jack,Perez,jackperez@school4.com,delegate,S04,School 4
S04-DEL-019,Ava,Rodriguez,avarodriguez@school4.com,delegate,S04,School 4
S04-DEL-020,Morgan,Clark,morganclark@school4.com,delegate,S04,School 4
S04-DEL-021,Jack,Jackson,jackjackson@school4.com,delegate,S04,School 4
S04-DEL-022,Noah,White,noahwhite@school4.com,delegate,S04,School 4
S04-DEL-023,Leo,Smith,leosmith@school4.com,delegate,S04,School 4
S04-DEL-024,Ben,Robinson,benrobinson@school4.com,delegate,S04,School 4
S04-DEL-025,Mia,Sanchez,miasanchez@school4.com,delegate,S04,School 4
S04-DEL-026,Lucas,Scott,lucasscott@school4.com,delegate,S04,School 4
S04-DEL-027,Olivia,White,oliviawhite@school4.com,delegate,S04,School 4
S04-DEL-028,Jack,Jackson,jackjackson@school4.com,delegate,S04,School 4
S04-DEL-029,Olivia,Gonzalez,oliviagonzalez@school4.com,delegate,S04,School 4
S04-DIR-001,Ryan,Thompson,ryanthompson@school4.com,delegate,S04,School 4
S05-DEL-001,Alex,White,alexwhite@school5.com,delegate,S05,School 5
S05-DEL-002,Mia,Walker,miawalker@school5.com,delegate,S05,School 5
S05-DEL-003,Chloe,Miller,chloemiller@school5.com,delegate,S05,School 5
S05-DEL-004,Leo,Harris,leoharris@school5.com,delegate,S05,School 5
S05-DEL-005,David,Hernandez,davidhernandez@school5.com,delegate,S05,School 5
S05-DEL-006,Sophia,Harris,sophiaharris@school5.com,delegate,S05,School 5
S05-DIR-001,Mason,Garcia,masongarcia@school5.com,delegate,S05,School 5
S06-DEL-001,Matthew,King,matthewking@school6.com,delegate,S06,School 6
S06-DEL-002,Sam,Perez,samperez@school6.com,delegate,S06,School 6
S06-DEL-003,Noah,Moore,noahmoore@school6.com,delegate,S06,School 6
S06-DEL-004,Isabella,Jackson,isabellajackson@school6.com,delegate,S06,School 6
S06-DEL-005,Isabella,Clark,isabellaclark@school6.com,delegate,S06,School 6
S06-DEL-006,Casey,Smith,caseysmith@school6.com,delegate,S06,School 6
S06-DEL-007,Chris,Brown,chrisbrown@school6.com,delegate,S06,School 6
S06-DEL-008,Daniel,King,danielking@school6.com,delegate,S06,School 6
S06-DEL-009,Chris,White,chriswhite@school6.com,delegate,S06,School 6
S06-DEL-010,Liam,Lopez,liamlopez@school6.com,delegate,S06,School 6
S06-DEL-011,Michael,Miller,michaelmiller@school6.com,delegate,S06,School 6
S06-DEL-012,Isabella,Davis,isabelladavis@school6.com,delegate,S06,School 6
S06-DEL-013,Quinn,Lopez,quinnlopez@school6.com,delegate,S06,School 6
S06-DEL-014,Amelia,Martinez,ameliamartinez@school6.com,delegate,S06,School 6
S06-DEL-015,David,Torres,davidtorres@school6.com,delegate,S06,School 6
S06-DEL-016,Ryan,Martin,ryanmartin@school6.com,delegate,S06,School 6
S06-DEL-017,Ethan,Wright,ethanwright@school6.com,delegate,S06,School 6
S06-DEL-018,Emma,Gonzalez,emmagonzalez@school6.com,delegate,S06,School 6
S06-DEL-019,Ben,Perez,benperez@school6.com,delegate,S06,School 6
S06-DEL-020,Quinn,Robinson,quinnrobinson@school6.com,delegate,S06,School 6
S06-DEL-021,Matthew,Lewis,matthewlewis@school6.com,delegate,S06,School 6
S06-DEL-022,Chloe,Thompson,chloethompson@school6.com,delegate,S06,School 6
S06-DEL-023,David,Lewis,davidlewis@school6.com,delegate,S06,School 6
S06-DEL-024,Olivia,Young,oliviayoung@school6.com,delegate,S06,School 6
S06-DEL-025,Grace,Thomas,gracethomas@school6.com,delegate,S06,School 6
S06-DEL-026,Ella,Hill,ellahill@school6.com,delegate,S06,School 6
S06-DEL-027,Ella,Lee,ellalee@school6.com,delegate,S06,School 6
S06-DEL-028,Nathan,Moore,nathanmoore@school6.com,delegate,S06,School 6
S06-DEL-029,Liam,Johnson,liamjohnson@school6.com,delegate,S06,School 6
S06-DEL-030,Dylan,Taylor,dylantaylor@school6.com,delegate,S06,School 6
S06-DEL-031,Alex,Lopez,alexlopez@school6.com,delegate,S06,School 6
S06-DEL-032,Riley,Scott,rileyscott@school6.com,delegate,S06,School 6
S06-DEL-033,Chloe,Torres,chloetorres@school6.com,delegate,S06,School 6
S06-DEL-034,Michael,Martinez,michaelmartinez@school6.com,delegate,S06,School 6
S06-DEL-035,Taylor,Thompson,taylorthompson@school6.com,delegate,S06,School 6
S06-DEL-036,Dylan,Wright,dylanwright@school6.com,delegate,S06,School 6
S06-DEL-037,Chloe,Lewis,chloelewis@school6.com,delegate,S06,School 6
S06-DEL-038,Morgan,White,morganwhite@school6.com,delegate,S06,School 6
S06-DEL-039,Chris,Rodriguez,chrisrodriguez@school6.com,delegate,S06,School 6
S06-DEL-040,Alex,Rodriguez,alexrodriguez@school6.com,delegate,S06,School 6
S06-DEL-041,Ethan,Harris,ethanharris@school6.com,delegate,S06,School 6
S06-DEL-042,Alex,Scott,alexscott@school6.com,delegate,S06,School 6
S06-DEL-043,Avery,White,averywhite@school6.com,delegate,S06,School 6
S06-DEL-044,Ryan,Williams,ryanwilliams@school6.com,delegate,S06,School 6
S06-DEL-045,Matthew,Garcia,matthewgarcia@school6.com,delegate,S06,School 6
S06-DEL-046,Sophia,Thomas,sophiathomas@school6.com,delegate,S06,School 6
S06-DEL-047,Riley,Flores,rileyflores@school6.com,delegate,S06,School 6
S06-DEL-048,Chloe,White,chloewhite@school6.com,delegate,S06,School 6
S06-DEL-049,Jordan,Miller,jordanmiller@school6.com,delegate,S06,School 6
S06-DEL-050,Noah,Allen,noahallen@school6.com,delegate,S06,School 6
S06-DEL-051,Grace,Smith,gracesmith@school6.com,delegate,S06,School 6
S06-DEL-052,Mason,Jackson,masonjackson@school6.com,delegate,S06,School 6
S06-DEL-053,Ella,Nguyen,ellanguyen@school6.com,delegate,S06,School 6
S06-DEL-054,Elliot,Lopez,elliotlopez@school6.com,delegate,S06,School 6
S06-DEL-055,Alex,Williams,alexwilliams@school6.com,delegate,S06,School 6
S06-DEL-056,Michael,Miller,michaelmiller@school6.com,delegate,S06,School 6
S06-DEL-057,Jordan,Wilson,jordanwilson@school6.com,delegate,S06,School 6
S06-DEL-058,Luke,Walker,lukewalker@school6.com,delegate,S06,School 6
S06-DEL-059,Liam,Sanchez,liamsanchez@school6.com,delegate,S06,School 6
S06-DEL-060,Ethan,Rodriguez,ethanrodriguez@school6.com,delegate,S06,School 6
S06-DEL-061,Avery,Martin,averymartin@school6.com,delegate,S06,School 6
S06-DIR-001,Jack,Moore,jackmoore@school6.com,delegate,S06,School 6
S07-DEL-001,Dylan,Anderson,dylananderson@school7.com,delegate,S07,School 7
S07-DEL-002,Luke,Young,lukeyoung@school7.com,delegate,S07,School 7
S07-DEL-003,Leo,Davis,leodavis@school7.com,delegate,S07,School 7
S07-DEL-004,Avery,Moore,averymoore@school7.com,delegate,S07,School 7
S07-DEL-005,Liam,Garcia,liamgarcia@school7.com,delegate,S07,School 7
S07-DEL-006,Sam,White,samwhite@school7.com,delegate,S07,School 7
S07-DEL-007,Morgan,Williams,morganwilliams@school7.com,delegate,S07,School 7
S07-DEL-008,Leo,Harris,leoharris@school7.com,delegate,S07,School 7
S07-DEL-009,Grace,Lewis,gracelewis@school7.com,delegate,S07,School 7
S07-DEL-010,Ethan,Thomas,ethanthomas@school7.com,delegate,S07,School 7
S07-DEL-011,Jordan,Miller,jordanmiller@school7.com,delegate,S07,School 7
S07-DEL-012,Ben,Clark,benclark@school7.com,delegate,S07,School 7
S07-DEL-013,Andrew,Martin,andrewmartin@school7.com,delegate,S07,School 7
S07-DEL-014,Noah,Lopez,noahlopez@school7.com,delegate,S07,School 7
S07-DIR-001,Casey,Harris,caseyharris@school7.com,delegate,S07,School 7
S08-DEL-001,Sophia,Taylor,sophiataylor@school8.com,delegate,S08,School 8
S08-DEL-002,Noah,Martin,noahmartin@school8.com,delegate,S08,School 8
S08-DEL-003,Ava,Hill,avahill@school8.com,delegate,S08,School 8
S08-DEL-004,Sam,Gonzalez,samgonzalez@school8.com,delegate,S08,School 8
S08-DEL-005,Ben,Hill,benhill@school8.com,delegate,S08,School 8
S08-DEL-006,Jack,Ramirez,jackramirez@school8.com,delegate,S08,School 8
S08-DEL-007,David,Anderson,davidanderson@school8.com,delegate,S08,School 8
S08-DEL-008,Grace,Hill,gracehill@school8.com,delegate,S08,School 8
S08-DEL-009,Jordan,Davis,jordandavis@school8.com,delegate,S08,School 8
S08-DEL-010,Andrew,Walker,andrewwalker@school8.com,delegate,S08,School 8
S08-DEL-011,Ethan,Moore,ethanmoore@school8.com,delegate,S08,School 8
S08-DEL-012,Andrew,Gonzalez,andrewgonzalez@school8.com,delegate,S08,School 8
S08-DEL-013,Avery,Lee,averylee@school8.com,delegate,S08,School 8
S08-DEL-014,Casey,Moore,caseymoore@school8.com,delegate,S08,School 8
S08-DEL-015,Matthew,Martinez,matthewmartinez@school8.com,delegate,S08,School 8
S08-DEL-016,Olivia,Harris,oliviaharris@school8.com,delegate,S08,School 8
S08-DEL-017,Jack,Harris,jackharris@school8.com,delegate,S08,School 8
S08-DEL-018,Jack,Perez,jackperez@school8.com,delegate,S08,School 8
S08-DEL-019,Liam,Garcia,liamgarcia@school8.com,delegate,S08,School 8
S08-DEL-020,Chris,Anderson,chrisanderson@school8.com,delegate,S08,School 8
S08-DEL-021,Jamie,Wilson,jamiewilson@school8.com,delegate,S08,School 8
S08-DEL-022,Elliot,Thomas,elliotthomas@school8.com,delegate,S08,School 8
S08-DEL-023,Chris,Garcia,chrisgarcia@school8.com,delegate,S08,School 8
S08-DEL-024,Liam,Walker,liamwalker@school8.com,delegate,S08,School 8
S08-DEL-025,Casey,Sanchez,caseysanchez@school8.com,delegate,S08,School 8
S08-DIR-001,Isabella,Taylor,isabellataylor@school8.com,delegate,S08,School 8
S09-DEL-001,Morgan,Gonzalez,morgangonzalez@school9.com,delegate,S09,School 9
S09-DEL-002,Ben,Sanchez,bensanchez@school9.com,delegate,S09,School 9
S09-DEL-003,Amelia,Robinson,ameliarobinson@school9.com,delegate,S09,School 9
S09-DEL-004,Avery,Flores,averyflores@school9.com,delegate,S09,School 9
S09-DEL-005,Mason,Anderson,masonanderson@school9.com,delegate,S09,School 9
S09-DEL-006,Amelia,Lewis,amelialewis@school9.com,delegate,S09,School 9
S09-DEL-007,Dylan,Moore,dylanmoore@school9.com,delegate,S09,School 9
S09-DEL-008,Taylor,Smith,taylorsmith@school9.com,delegate,S09,School 9
S09-DEL-009,Jack,Flores,jackflores@school9.com,delegate,S09,School 9
S09-DEL-010,Jamie,Robinson,jamierobinson@school9.com,delegate,S09,School 9
S09-DEL-011,Lucas,Wright,lucaswright@school9.com,delegate,S09,School 9
S09-DEL-012,Olivia,Thompson,oliviathompson@school9.com,delegate,S09,School 9
S09-DEL-013,Dylan,Ramirez,dylanramirez@school9.com,delegate,S09,School 9
S09-DEL-014,Daniel,Smith,danielsmith@school9.com,delegate,S09,School 9
S09-DEL-015,Grace,Lee,gracelee@school9.com,delegate,S09,School 9
S09-DIR-001,Chris,Williams,chriswilliams@school9.com,delegate,S09,School 9
S10-DEL-001,Andrew,White,andrewwhite@school10.com,delegate,S10,School 10
S10-DEL-002,Casey,Allen,caseyallen@school10.com,delegate,S10,School 10
S10-DEL-003,Morgan,Brown,morganbrown@school10.com,delegate,S10,School 10
S10-DEL-004,David,Moore,davidmoore@school10.com,delegate,S10,School 10
S10-DEL-005,Dylan,Gonzalez,dylangonzalez@school10.com,delegate,S10,School 10
S10-DEL-006,Quinn,Anderson,quinnanderson@school10.com,delegate,S10,School 10
S10-DEL-007,Jack,Walker,jackwalker@school10.com,delegate,S10,School 10
S10-DEL-008,Sam,Ramirez,samramirez@school10.com,delegate,S10,School 10
S10-DEL-009,Luke,Perez,lukeperez@school10.com,delegate,S10,School 10
S10-DEL-010,Leo,Jones,leojones@school10.com,delegate,S10,School 10
S10-DEL-011,Chris,White,chriswhite@school10.com,delegate,S10,School 10
S10-DEL-012,Sam,Torres,samtorres@school10.com,delegate,S10,School 10
S10-DEL-013,Noah,Walker,noahwalker@school10.com,delegate,S10,School 10
S10-DEL-014,Dylan,Nguyen,dylannguyen@school10.com,delegate,S10,School 10
S10-DEL-015,Jack,Miller,jackmiller@school10.com,delegate,S10,School 10
S10-DIR-001,Quinn,Lewis,quinnlewis@school10.com,delegate,S10,School 10
S11_DEL-001,Elliot,Torres,elliottorres@school11.com,delegate,S11,School 11
S11-DIR-001,Chris,Anderson,chrisanderson@school11.com,delegate,S11,School 11
S12-DEL-001,Jack,Jones,jackjones@school12.com,delegate,S12,School 12
S12-DEL-002,Grace,Perez,graceperez@school12.com,delegate,S12,School 12
S12-DEL-003,Riley,Lewis,rileylewis@school12.com,delegate,S12,School 12
S12-DEL-004,Dylan,Hernandez,dylanhernandez@school12.com,delegate,S12,School 12
S12-DEL-005,Jack,Martinez,jackmartinez@school12.com,delegate,S12,School 12
S12-DEL-006,Amelia,Anderson,ameliaanderson@school12.com,delegate,S12,School 12
S12-DEL-007,Ethan,Martinez,ethanmartinez@school12.com,delegate,S12,School 12
S12-DEL-008,Chris,Jackson,chrisjackson@school12.com,delegate,S12,School 12
S12-DEL-009,Emma,Martinez,emmamartinez@school12.com,delegate,S12,School 12
S12-DEL-010,Taylor,Jones,taylorjones@school12.com,delegate,S12,School 12
S12-DEL-011,Ben,Jackson,benjackson@school12.com,delegate,S12,School 12
S12-DEL-012,Jordan,Perez,jordanperez@school12.com,delegate,S12,School 12
S12-DEL-013,Liam,Lewis,liamlewis@school12.com,delegate,S12,School 12
S12-DEL-014,Jack,Nguyen,jacknguyen@school12.com,delegate,S12,School 12
S12-DEL-015,Luke,Clark,lukeclark@school12.com,delegate,S12,School 12
S12-DEL-016,Liam,Miller,liammiller@school12.com,delegate,S12,School 12
S12-DEL-017,Chloe,Taylor,chloetaylor@school12.com,delegate,S12,School 12
S12-DEL-018,Nathan,Scott,nathanscott@school12.com,delegate,S12,School 12
S12-DEL-019,Alex,Martin,alexmartin@school12.com,delegate,S12,School 12
S12-DEL-020,Chloe,Hernandez,chloehernandez@school12.com,delegate,S12,School 12
S12-DIR-001,Casey,Clark,caseyclark@school12.com,delegate,S12,School 12
S13-DEL-001,Jack,Lee,jacklee@school13.com,delegate,S13,School 13
S13-DEL-002,Noah,Thompson,noahthompson@school13.com,delegate,S13,School 13
S13-DEL-003,Nathan,Anderson,nathananderson@school13.com,delegate,S13,School 13
S13-DEL-004,Casey,Johnson,caseyjohnson@school13.com,delegate,S13,School 13
S13-DEL-005,Elliot,Martin,elliotmartin@school13.com,delegate,S13,School 13
S13-DEL-006,Grace,Miller,gracemiller@school13.com,delegate,S13,School 13
S13-DEL-007,Daniel,Hill,danielhill@school13.com,delegate,S13,School 13
S13-DEL-008,Ella,King,ellaking@school13.com,delegate,S13,School 13
S13-DEL-009,Chris,Brown,chrisbrown@school13.com,delegate,S13,School 13
S13-DEL-010,Alex,Jones,alexjones@school13.com,delegate,S13,School 13
S13-DIR-001,Dylan,Wilson,dylanwilson@school13.com,delegate,S13,School 13
S14-DEL-001,Mason,Miller,masonmiller@school14.com,delegate,S14,School 14
S14-DEL-002,Chris,Allen,chrisallen@school14.com,delegate,S14,School 14
S14-DEL-003,Sam,Hernandez,samhernandez@school14.com,delegate,S14,School 14
S14-DEL-004,Jordan,Perez,jordanperez@school14.com,delegate,S14,School 14
S14-DEL-005,Mia,Moore,miamoore@school14.com,delegate,S14,School 14
S14-DEL-006,Olivia,Taylor,oliviataylor@school14.com,delegate,S14,School 14
S14-DEL-007,Grace,Martinez,gracemartinez@school14.com,delegate,S14,School 14
S14-DEL-008,Alex,Sanchez,alexsanchez@school14.com,delegate,S14,School 14
S14-DEL-009,Andrew,Moore,andrewmoore@school14.com,delegate,S14,School 14
S14-DEL-010,David,Brown,davidbrown@school14.com,delegate,S14,School 14
S14-DIR-001,Luke,Perez,lukeperez@school14.com,delegate,S14,School 14
S15-DEL-001,Sophia,Ramirez,sophiaramirez@school15.com,delegate,S15,School 15
S15-DEL-002,Jordan,Harris,jordanharris@school15.com,delegate,S15,School 15
S15-DEL-003,Quinn,Rodriguez,quinnrodriguez@school15.com,delegate,S15,School 15
S15-DEL-004,Mia,Miller,miamiller@school15.com,delegate,S15,School 15
S15-DEL-005,Daniel,Taylor,danieltaylor@school15.com,delegate,S15,School 15
S15-DEL-006,James,Lee,jameslee@school15.com,delegate,S15,School 15
S15-DEL-007,Michael,Perez,michaelperez@school15.com,delegate,S15,School 15
S15-DEL-008,Luke,Lee,lukelee@school15.com,delegate,S15,School 15
S15-DEL-009,Riley,Scott,rileyscott@school15.com,delegate,S15,School 15
S15-DEL-010,David,Perez,davidperez@school15.com,delegate,S15,School 15
S15-DEL-011,Ryan,Martinez,ryanmartinez@school15.com,delegate,S15,School 15
S15-DEL-012,Ethan,Martinez,ethanmartinez@school15.com,delegate,S15,School 15
S15-DEL-013,Liam,Flores,liamflores@school15.com,delegate,S15,School 15
S15-DEL-014,Ben,Lopez,benlopez@school15.com,delegate,S15,School 15
S15-DEL-015,Quinn,Flores,quinnflores@school15.com,delegate,S15,School 15
S15-DEL-016,Amelia,Moore,ameliamoore@school15.com,delegate,S15,School 15
S15-DEL-017,Olivia,Gonzalez,oliviagonzalez@school15.com,delegate,S15,School 15
S15-DEL-018,Casey,Jackson,caseyjackson@school15.com,delegate,S15,School 15
S15-DEL-019,Elliot,Taylor,elliottaylor@school15.com,delegate,S15,School 15
S15-DIR-001,Sophia,Moore,sophiamoore@school15.com,delegate,S15,School 15
S16-DEL-001,Alex,Garcia,alexgarcia@school16.com,delegate,S16,School 16
S16-DEL-002,Taylor,Thompson,taylorthompson@school16.com,delegate,S16,School 16
S16-DEL-003,Riley,Lee,rileylee@school16.com,delegate,S16,School 16
S16-DEL-004,Grace,Thompson,gracethompson@school16.com,delegate,S16,School 16
S16-DEL-005,Chris,Rodriguez,chrisrodriguez@school16.com,delegate,S16,School 16
S16-DEL-006,Lucas,White,lucaswhite@school16.com,delegate,S16,School 16
S16-DEL-007,Riley,Wilson,rileywilson@school16.com,delegate,S16,School 16
S16-DEL-008,Elliot,Lewis,elliotlewis@school16.com,delegate,S16,School 16
S16-DIR-001,Ella,Thomas,ellathomas@school16.com,delegate,S16,School 16
S17-DEL-001,Matthew,Perez,matthewperez@school17.com,delegate,S17,School 17
S17-DEL-002,Noah,Young,noahyoung@school17.com,delegate,S17,School 17
S17-DEL-003,Leo,King,leoking@school17.com,delegate,S17,School 17
S17-DEL-004,Daniel,Flores,danielflores@school17.com,delegate,S17,School 17
S17-DEL-005,Emma,White,emmawhite@school17.com,delegate,S17,School 17
S17-DEL-006,Jamie,Lee,jamielee@school17.com,delegate,S17,School 17
S17-DEL-007,Ryan,Martinez,ryanmartinez@school17.com,delegate,S17,School 17
S17-DEL-008,Ava,Sanchez,avasanchez@school17.com,delegate,S17,School 17
S17-DEL-009,Noah,Rodriguez,noahrodriguez@school17.com,delegate,S17,School 17
S17-DEL-010,Ella,Young,ellayoung@school17.com,delegate,S17,School 17
S17-DEL-011,Matthew,Young,matthewyoung@school17.com,delegate,S17,School 17
S17-DEL-012,Chris,Jackson,chrisjackson@school17.com,delegate,S17,School 17
S17-DEL-013,Casey,Sanchez,caseysanchez@school17.com,delegate,S17,School 17
S17-DEL-014,Jack,Torres,jacktorres@school17.com,delegate,S17,School 17
